activityId,actors,category,subcategory,city
6739,,曲苑杂坛,戏曲,苏州
6740,,曲苑杂坛,戏曲,苏州
6741,,曲苑杂坛,戏曲,苏州
6742,,曲苑杂坛,戏曲,常州
6743,,曲苑杂坛,戏曲,常州
6744,,曲苑杂坛,戏曲,常州
6745,,曲苑杂坛,戏曲,常州
6746,,曲苑杂坛,戏曲,常州
6747,,曲苑杂坛,戏曲,常州
6748,,曲苑杂坛,戏曲,常州
6749,,曲苑杂坛,戏曲,常州
6750,,曲苑杂坛,戏曲,常州
6751,,儿童亲子,其他儿童亲子,上海
6752,,儿童亲子,其他儿童亲子,上海
6753,,儿童亲子,其他儿童亲子,上海
6754,,儿童亲子,其他儿童亲子,上海
6755,,儿童亲子,其他儿童亲子,上海
6756,,儿童亲子,其他儿童亲子,上海
6757,,儿童亲子,其他儿童亲子,上海
6758,,儿童亲子,其他儿童亲子,上海
6759,,儿童亲子,其他儿童亲子,上海
6760,,儿童亲子,其他儿童亲子,西安
6761,,儿童亲子,其他儿童亲子,西安
6762,,儿童亲子,其他儿童亲子,西安
6763,,儿童亲子,其他儿童亲子,西安
6764,,儿童亲子,其他儿童亲子,西安
6765,,儿童亲子,其他儿童亲子,西安
6766,,儿童亲子,其他儿童亲子,西安
6767,,儿童亲子,其他儿童亲子,西安
6768,,儿童亲子,其他儿童亲子,西安
6769,,演唱会,其他演唱会,重庆
6770,,演唱会,其他演唱会,重庆
6771,,演唱会,其他演唱会,重庆
6772,,演唱会,其他演唱会,重庆
6773,,演唱会,其他演唱会,重庆
6774,,演唱会,其他演唱会,重庆
6775,,演唱会,其他演唱会,重庆
6776,,演唱会,其他演唱会,重庆
6777,,演唱会,其他演唱会,重庆
6778,,展览休闲,展会,成都
6779,,展览休闲,展会,成都
6780,,展览休闲,展会,成都
6781,,展览休闲,展会,成都
6782,,展览休闲,展会,成都
6783,,展览休闲,展会,成都
6784,,展览休闲,展会,成都
6785,,展览休闲,展会,成都
6786,,展览休闲,展会,成都
6787,,话剧歌剧,话剧,上海
6788,,话剧歌剧,话剧,上海
6789,,话剧歌剧,话剧,上海
6790,,话剧歌剧,话剧,上海
6791,,话剧歌剧,话剧,上海
6792,,话剧歌剧,话剧,上海
6793,,话剧歌剧,话剧,上海
6794,,话剧歌剧,话剧,上海
6795,,话剧歌剧,话剧,上海
6796,艺人：赵鹏,演唱会,其他演唱会,重庆
6797,艺人：赵鹏,演唱会,其他演唱会,重庆
6798,艺人：赵鹏,演唱会,其他演唱会,重庆
6799,艺人：赵鹏,演唱会,其他演唱会,重庆
6800,艺人：赵鹏,演唱会,其他演唱会,重庆
6801,艺人：赵鹏,演唱会,其他演唱会,重庆
6802,艺人：赵鹏,演唱会,其他演唱会,重庆
6803,艺人：赵鹏,演唱会,其他演唱会,重庆
6804,艺人：赵鹏,演唱会,其他演唱会,重庆
6805,,舞蹈芭蕾,舞蹈,成都
6806,,舞蹈芭蕾,舞蹈,成都
6807,,舞蹈芭蕾,舞蹈,成都
6808,,舞蹈芭蕾,舞蹈,成都
6809,,舞蹈芭蕾,舞蹈,成都
6810,,舞蹈芭蕾,舞蹈,成都
6811,,舞蹈芭蕾,舞蹈,成都
6812,,舞蹈芭蕾,舞蹈,成都
6813,,舞蹈芭蕾,舞蹈,成都
6814,,音乐会,其他音乐会,南京
6815,,音乐会,其他音乐会,南京
6816,,音乐会,其他音乐会,南京
6817,,音乐会,其他音乐会,南京
6818,,音乐会,其他音乐会,南京
6819,,音乐会,其他音乐会,南京
6820,,音乐会,其他音乐会,南京
6821,,音乐会,其他音乐会,南京
6822,,音乐会,其他音乐会,南京
6823,,舞蹈芭蕾,舞蹈,上海
6824,,舞蹈芭蕾,舞蹈,上海
6825,,舞蹈芭蕾,舞蹈,上海
6826,,舞蹈芭蕾,舞蹈,上海
6827,,舞蹈芭蕾,舞蹈,上海
6828,,舞蹈芭蕾,舞蹈,上海
6829,,舞蹈芭蕾,舞蹈,上海
6830,,舞蹈芭蕾,舞蹈,上海
6831,,舞蹈芭蕾,舞蹈,上海
6832,,展览休闲,展会,上海
6833,,展览休闲,展会,上海
6834,,展览休闲,展会,上海
6835,,展览休闲,展会,上海
6836,,展览休闲,展会,上海
6837,,展览休闲,展会,上海
6838,,展览休闲,展会,上海
6839,,展览休闲,展会,上海
6840,,展览休闲,展会,上海
6841,,展览休闲,展会,上海
6842,,展览休闲,展会,上海
6843,,展览休闲,展会,上海
6844,,展览休闲,展会,上海
6845,,展览休闲,展会,上海
6846,,展览休闲,展会,上海
6847,,展览休闲,展会,上海
6848,,展览休闲,展会,上海
6849,,展览休闲,展会,上海
6850,,展览休闲,展会,天津
6851,,展览休闲,展会,天津
6852,,展览休闲,展会,天津
6853,,展览休闲,展会,天津
6854,,展览休闲,展会,天津
6855,,展览休闲,展会,天津
6856,,展览休闲,展会,天津
6857,,展览休闲,展会,天津
6858,,展览休闲,展会,天津
6859,,音乐会,其他音乐会,杭州
6860,,音乐会,其他音乐会,杭州
6861,,音乐会,其他音乐会,杭州
6862,,音乐会,其他音乐会,杭州
6863,,音乐会,其他音乐会,杭州
6864,,音乐会,其他音乐会,杭州
6865,,音乐会,其他音乐会,杭州
6866,,音乐会,其他音乐会,杭州
6867,,音乐会,其他音乐会,杭州
6868,,音乐会,其他音乐会,长沙
6869,,音乐会,其他音乐会,长沙
6870,,音乐会,其他音乐会,长沙
6871,,音乐会,其他音乐会,长沙
6872,,音乐会,其他音乐会,长沙
6873,,音乐会,其他音乐会,长沙
6874,,音乐会,其他音乐会,长沙
6875,,音乐会,其他音乐会,长沙
6876,,音乐会,其他音乐会,长沙
6877,,曲苑杂坛,其他曲苑杂坛,上海
6878,,曲苑杂坛,其他曲苑杂坛,上海
6879,,曲苑杂坛,其他曲苑杂坛,上海
6880,,曲苑杂坛,其他曲苑杂坛,上海
6881,,曲苑杂坛,其他曲苑杂坛,上海
6882,,曲苑杂坛,其他曲苑杂坛,上海
6883,,曲苑杂坛,其他曲苑杂坛,上海
6884,,曲苑杂坛,其他曲苑杂坛,上海
6885,,曲苑杂坛,其他曲苑杂坛,上海
6886,,演唱会,其他演唱会,宁波
6887,,演唱会,其他演唱会,宁波
6888,,演唱会,其他演唱会,宁波
6889,,演唱会,其他演唱会,宁波
6890,,演唱会,其他演唱会,宁波
6891,,演唱会,其他演唱会,宁波
6892,,演唱会,其他演唱会,宁波
6893,,演唱会,其他演唱会,宁波
6894,,演唱会,其他演唱会,宁波
6895,,话剧歌剧,话剧,上海
6896,,话剧歌剧,话剧,上海
6897,,话剧歌剧,话剧,上海
6898,,话剧歌剧,话剧,上海
6899,,话剧歌剧,话剧,上海
6900,,话剧歌剧,话剧,上海
6901,,话剧歌剧,话剧,上海
6902,,话剧歌剧,话剧,上海
6903,,话剧歌剧,话剧,上海
6904,,话剧歌剧,话剧,上海
6905,,话剧歌剧,话剧,上海
6906,,话剧歌剧,话剧,上海
6907,,话剧歌剧,话剧,上海
6908,,话剧歌剧,话剧,上海
6909,,话剧歌剧,话剧,上海
6910,,话剧歌剧,话剧,上海
6911,,话剧歌剧,话剧,上海
6912,,话剧歌剧,话剧,上海
6913,,话剧歌剧,话剧,上海
6914,,话剧歌剧,话剧,上海
6915,,话剧歌剧,话剧,上海
6916,,话剧歌剧,话剧,上海
6917,,话剧歌剧,话剧,上海
6918,,话剧歌剧,话剧,上海
6919,,话剧歌剧,话剧,上海
6920,,话剧歌剧,话剧,上海
6921,,话剧歌剧,话剧,上海
6922,,展览休闲,其他展览休闲,杭州
6923,,展览休闲,其他展览休闲,杭州
6924,,展览休闲,其他展览休闲,杭州
6925,,展览休闲,其他展览休闲,杭州
6926,,展览休闲,其他展览休闲,杭州
6927,,展览休闲,其他展览休闲,杭州
6928,,展览休闲,其他展览休闲,杭州
6929,,展览休闲,其他展览休闲,杭州
6930,,展览休闲,其他展览休闲,杭州
6931,,展览休闲,展会,北京
6932,,展览休闲,展会,北京
6933,,展览休闲,展会,北京
6934,,展览休闲,展会,北京
6935,,展览休闲,展会,北京
6936,,展览休闲,展会,北京
6937,,展览休闲,展会,北京
6938,,展览休闲,展会,北京
6939,,展览休闲,展会,北京
6940,,展览休闲,特色体验,上海
6941,,展览休闲,特色体验,上海
6942,,展览休闲,特色体验,上海
6943,,展览休闲,特色体验,上海
6944,,展览休闲,特色体验,上海
6945,,展览休闲,特色体验,上海
6946,,展览休闲,特色体验,上海
6947,,展览休闲,特色体验,上海
6948,,展览休闲,特色体验,上海
6949,,曲苑杂坛,戏曲,常州
6950,,曲苑杂坛,戏曲,常州
6951,,曲苑杂坛,戏曲,常州
6952,,曲苑杂坛,戏曲,常州
6953,,曲苑杂坛,戏曲,常州
6954,,曲苑杂坛,戏曲,常州
6955,,曲苑杂坛,戏曲,常州
6956,,曲苑杂坛,戏曲,常州
6957,,曲苑杂坛,戏曲,常州
6958,,曲苑杂坛,戏曲,常州
6959,,曲苑杂坛,戏曲,常州
6960,,曲苑杂坛,戏曲,常州
6961,,曲苑杂坛,戏曲,常州
6962,,曲苑杂坛,戏曲,常州
6963,,曲苑杂坛,戏曲,常州
6964,,曲苑杂坛,戏曲,常州
6965,,曲苑杂坛,戏曲,常州
6966,,曲苑杂坛,戏曲,常州
6967,,话剧歌剧,话剧,成都
6968,,话剧歌剧,话剧,成都
6969,,话剧歌剧,话剧,成都
6970,,话剧歌剧,话剧,成都
6971,,话剧歌剧,话剧,成都
6972,,话剧歌剧,话剧,成都
6973,,话剧歌剧,话剧,成都
6974,,话剧歌剧,话剧,成都
6975,,话剧歌剧,话剧,成都
6976,,曲苑杂坛,其他曲苑杂坛,大连
6977,,曲苑杂坛,其他曲苑杂坛,大连
6978,,曲苑杂坛,其他曲苑杂坛,大连
6979,,曲苑杂坛,其他曲苑杂坛,大连
6980,,曲苑杂坛,其他曲苑杂坛,大连
6981,,曲苑杂坛,其他曲苑杂坛,大连
6982,,曲苑杂坛,其他曲苑杂坛,大连
6983,,曲苑杂坛,其他曲苑杂坛,大连
6984,,曲苑杂坛,其他曲苑杂坛,大连
6985,,话剧歌剧,话剧,上海
6986,,话剧歌剧,话剧,上海
6987,,话剧歌剧,话剧,上海
6988,,话剧歌剧,话剧,上海
6989,,话剧歌剧,话剧,上海
6990,,话剧歌剧,话剧,上海
6991,,话剧歌剧,话剧,上海
